Street,String,Other
494 COLLEGE ST ,Blah,Hello
496 COLLEGE ST ,Blah,Hello
500 COLLEGE ST ,Blah,Hello
307 PALMERSTON BLVD ,Blah,Hello
490 COLLEGE ST ,Blah,Hello
492 COLLEGE ST ,Blah,Hello
581 BLOOR ST W,Blah,Hello
31 DUNDONALD ST ,Blah,Hello
33 DUNDONALD ST ,Blah,Hello
35 DUNDONALD ST ,Blah,Hello
37 DUNDONALD ST ,Blah,Hello
146 LAIRD DR ,Blah,Hello
9 MACNAUGHTON RD ,Blah,Hello
51 MUTUAL ST ,Blah,Hello
53 MUTUAL ST ,Blah,Hello
63 MUTUAL ST ,Blah,Hello
65 MUTUAL ST ,Blah,Hello
67 MUTUAL ST ,Blah,Hello
635 QUEEN ST E,Blah,Hello
887 QUEEN ST E,Blah,Hello
81 R WOODLAWN AVE E,Blah,Hello
725 BATHURST ST,Blah,Hello
1130 BATHURST ST,Blah,Hello
1 BLOOR ST W,Blah,Hello
1 BLUE GOOSE ST,Blah,Hello
106 BROADVIEW AVE ,Blah,Hello
537 BROADVIEW AVE ,Blah,Hello
958 BROADVIEW AVE ,Blah,Hello
811-813 BROADVIEW AVE ,Blah,Hello
642 CHURCH ST ,Blah,Hello
68 DAISY AVE,Blah,Hello
1192 DANFORTH AVE ,Blah,Hello
14 DEWHURST BLVD,Blah,Hello
659 DUPONT ST,Blah,Hello
462 EASTERN AVE,Blah,Hello
59 HEATH ST W,Blah,Hello
223 Horsham Ave,Blah,Hello
33-35 KENSINGTON ,Blah,Hello
405 THE KINGSWAY,Blah,Hello
2448 LAKE SHORE BLVD W,Blah,Hello
70 LOWTHER AVE,Blah,Hello
175 MEMORIAL PARK AVE ,Blah,Hello
551 MOUNT PLEASANT RD ,Blah,Hello
675 MOUNT PLEASANT RD ,Blah,Hello
45 OSSINGTON,Blah,Hello
47 OSSINGTON,Blah,Hello
53 OSSINGTON,Blah,Hello
55 OSSINGTON,Blah,Hello
57 OSSINGTON,Blah,Hello
61 OSSINGTON,Blah,Hello
127 OSSINGTON,Blah,Hello
129 OSSINGTON,Blah,Hello
134 OSSINGTON,Blah,Hello
135 OSSINGTON,Blah,Hello
136 OSSINGTON,Blah,Hello
137 OSSINGTON,Blah,Hello
138 OSSINGTON,Blah,Hello
148 OSSINGTON,Blah,Hello
201 OSSINGTON,Blah,Hello
203 OSSINGTON,Blah,Hello
205 OSSINGTON,Blah,Hello
207 OSSINGTON,Blah,Hello
210 OSSINGTON,Blah,Hello
211 OSSINGTON,Blah,Hello
213 OSSINGTON,Blah,Hello
214 OSSINGTON,Blah,Hello
215 OSSINGTON,Blah,Hello
216 OSSINGTON,Blah,Hello
217 OSSINGTON,Blah,Hello
219 OSSINGTON,Blah,Hello
222 OSSINGTON,Blah,Hello
224 OSSINGTON,Blah,Hello
131-133 OSSINGTON,Blah,Hello
199-199A OSSINGTON,Blah,Hello
209A-209 OSSINGTON,Blah,Hello
212-212A OSSINGTON,Blah,Hello
218-218A OSSINGTON,Blah,Hello
220-220A OSSINGTON,Blah,Hello
48-51 OSSINGTON,Blah,Hello
59-59A OSSINGTON,Blah,Hello
877 QUEEN ST E,Blah,Hello
923-925 QUEEN ST E,Blah,Hello
505 RICHMOND STREET W,Blah,Hello
484-486 SPADINA AVE ,Blah,Hello
10 ST. MARY STREET,Blah,Hello
165 Stanley Ave,Blah,Hello
55 SUDBURY ST ,Blah,Hello
150 SYMES RD,Blah,Hello
2 Valleyanna Dr,Blah,Hello
102 WANLESS AVE,Blah,Hello
81 WELLESLEY STREET E,Blah,Hello
72 WELLS HILL AVE,Blah,Hello
155 WYCHWOOD AVE,Blah,Hello
2384 YONGE ST ,Blah,Hello
5800 YONGE ST ,Blah,Hello
925 ALBION RD ,Blah,Hello
26 ALEXANDER ST ,Blah,Hello
74 ALHAMBRA AVE ,Blah,Hello
140 ARGYLE ST ,Blah,Hello
5 AUSTIN TERRACE,Blah,Hello
174 AVENUE RD ,Blah,Hello
14 BALDWIN ST ,Blah,Hello
16 BALDWIN ST ,Blah,Hello
18 BALDWIN ST ,Blah,Hello
40 BALDWIN ST ,Blah,Hello
42 BALDWIN ST ,Blah,Hello
505 BALLIOL ST ,Blah,Hello
1515 BATHURST ST,Blah,Hello
1747 BAYVIEW AVE ,Blah,Hello
1751 BAYVIEW AVE ,Blah,Hello
1755 BAYVIEW AVE ,Blah,Hello
1759 BAYVIEW AVE ,Blah,Hello
1763 BAYVIEW AVE ,Blah,Hello
1767 BAYVIEW AVE ,Blah,Hello
1771 BAYVIEW AVE ,Blah,Hello
1775 BAYVIEW AVE ,Blah,Hello
1779 BAYVIEW AVE ,Blah,Hello
241 BEDFORD RD ,Blah,Hello
40 BELMONT ST,Blah,Hello
42 BELMONT ST,Blah,Hello
46 BELMONT ST,Blah,Hello
48 BELMONT ST,Blah,Hello
181 BEVERLEY ST ,Blah,Hello
183 BEVERLEY ST ,Blah,Hello
185 BEVERLEY ST ,Blah,Hello
199 BEVERLEY ST ,Blah,Hello
201 BEVERLEY ST ,Blah,Hello
203 BEVERLEY ST ,Blah,Hello
60 BIRMINGHAM ST ,Blah,Hello
124 BIRMINGHAM ST ,Blah,Hello
55 BLOOR ST W,Blah,Hello
300 BLOOR ST W,Blah,Hello
504 BLOOR ST W,Blah,Hello
1141 BLOOR ST W,Blah,Hello
1691 BLOOR ST W,Blah,Hello
112 BOND ST,Blah,Hello
79 BORDEN ST,Blah,Hello
28 BRACKEN AVE,Blah,Hello
1100 BRIAR HILL AVE,Blah,Hello
"14, 18 BRIGHT ST",Blah,Hello
2 BRIMLEY RD S,Blah,Hello
296 BROADVIEW AVE ,Blah,Hello
1132 BROADVIEW AVE ,Blah,Hello
34 CAMERON CRES ,Blah,Hello
181 CARLAW AVE ,Blah,Hello
235 CARLAW AVE ,Blah,Hello
245 CARLAW AVE ,Blah,Hello
50 CARROLL ST ,Blah,Hello
150 CASSANDRA BLVD,Blah,Hello
9 CECIL ST ,Blah,Hello
11 CECIL ST ,Blah,Hello
15 CECIL ST ,Blah,Hello
17 CECIL ST ,Blah,Hello
17 CECIL ST ,Blah,Hello
19 CECIL ST ,Blah,Hello
19 CECIL ST ,Blah,Hello
21 CECIL ST ,Blah,Hello
25 CECIL ST ,Blah,Hello
47 CECIL ST ,Blah,Hello
47 CECIL ST ,Blah,Hello
49 CECIL ST ,Blah,Hello
287 CHAPLIN CRES ,Blah,Hello
100 CHARLES ST E,Blah,Hello
260 CHURCH ST ,Blah,Hello
412 CHURCH ST ,Blah,Hello
511 CHURCH ST ,Blah,Hello
513 CHURCH ST ,Blah,Hello
625 CHURCH ST ,Blah,Hello
40 COLBORNE ST ,Blah,Hello
233 COLLEGE ST ,Blah,Hello
548 COLLEGE ST ,Blah,Hello
550 COLLEGE ST ,Blah,Hello
552 COLLEGE ST ,Blah,Hello
554 COLLEGE ST ,Blah,Hello
556 COLLEGE ST ,Blah,Hello
825 COXWELL AVE,Blah,Hello
28 DAISY AVE,Blah,Hello
1627 DANFORTH AVE ,Blah,Hello
9 DAVIES AVE ,Blah,Hello
11 DAVIES AVE ,Blah,Hello
27 DAVIES AVE ,Blah,Hello
33 DAVIES AVE ,Blah,Hello
39 DAVIES AVE ,Blah,Hello
43 DAVIES AVE ,Blah,Hello
47 DAVIES AVE ,Blah,Hello
50 DAWLISH AVE ,Blah,Hello
110 DAWLISH AVE ,Blah,Hello
22 DEER PARK CRES,Blah,Hello
24 DEER PARK CRES,Blah,Hello
16 DENISON AVE,Blah,Hello
24 DINNICK CRES ,Blah,Hello
140 DINNICK CRES ,Blah,Hello
789 DON MILLS RD ,Blah,Hello
797 DON MILLS RD ,Blah,Hello
466 DOVERCOURT RD ,Blah,Hello
3401 DUFFERIN ST,Blah,Hello
980 DUFFERIN ST ,Blah,Hello
376 DUNDAS ST E,Blah,Hello
1147 DUNDAS ST W,Blah,Hello
1149 DUNDAS ST W,Blah,Hello
1151 DUNDAS ST W,Blah,Hello
1153 DUNDAS ST W,Blah,Hello
2454 DUNDAS ST W,Blah,Hello
2466 DUNDAS ST W,Blah,Hello
2480 DUNDAS ST W,Blah,Hello
2733 DUNDAS ST W,Blah,Hello
2735 DUNDAS ST W,Blah,Hello
2737 DUNDAS ST W,Blah,Hello
2739 DUNDAS ST W,Blah,Hello
2741 DUNDAS ST W,Blah,Hello
2743 DUNDAS ST W,Blah,Hello
2745 DUNDAS ST W,Blah,Hello
2747 DUNDAS ST W,Blah,Hello
2783 DUNDAS ST W,Blah,Hello
2785 DUNDAS ST W,Blah,Hello
2787 DUNDAS ST W,Blah,Hello
2790 DUNDAS ST W,Blah,Hello
2792 DUNDAS ST W,Blah,Hello
2794 DUNDAS ST W,Blah,Hello
2796 DUNDAS ST W,Blah,Hello
2844 DUNDAS ST W,Blah,Hello
2871 DUNDAS ST W,Blah,Hello
3079 DUNDAS ST W,Blah,Hello
79 EAST DON ROADWAY  ,Blah,Hello
1 EASTVILLE AVE,Blah,Hello
1 EDMUND GT ,Blah,Hello
1150 EGLINTON AVE E,Blah,Hello
150 EIGHTH ST,Blah,Hello
260 EIGHTH ST,Blah,Hello
400 EUCLID AVE ,Blah,Hello
784 EUCLID AVE ,Blah,Hello
135 FENELON DR,Blah,Hello
150 FERMANAGH AVE,Blah,Hello
178 FRONT ST E,Blah,Hello
296 GERRARD ST E,Blah,Hello
1117 GERRARD ST E,Blah,Hello
49 GLOUCESTER ST ,Blah,Hello
28 GOLFDALE RD ,Blah,Hello
105 GOLFDALE RD ,Blah,Hello
79 GRANBY ST,Blah,Hello
81 GRANBY ST,Blah,Hello
26 GRANGE AVE ,Blah,Hello
1108 GREENWOOD AVE ,Blah,Hello
49 HEATH ST W,Blah,Hello
101 HEATH ST W,Blah,Hello
103 HEATH ST W,Blah,Hello
113 HOMESTEAD RD,Blah,Hello
11 HUMBERVIEW CRES ,Blah,Hello
"661, 663-665 Huron Street",Blah,Hello
4 INDIAN GROVE,Blah,Hello
2200 ISLINGTON AVE,Blah,Hello
414 JARVIS St,Blah,Hello
3100 KEELE ST,Blah,Hello
63 KENDAL AVE ,Blah,Hello
856 KINGSTON RD,Blah,Hello
1448 KINGSTON RD,Blah,Hello
1664 KINGSTON RD,Blah,Hello
1666 KINGSTON RD,Blah,Hello
1670 KINGSTON RD,Blah,Hello
1672 KINGSTON RD,Blah,Hello
1674 KINGSTON RD,Blah,Hello
1678 KINGSTON RD,Blah,Hello
1680 KINGSTON RD,Blah,Hello
4672 KINGSTON RD,Blah,Hello
299 KINGSWOOD RD ,Blah,Hello
33 LAIRD DR ,Blah,Hello
143 LAIRD DR ,Blah,Hello
180 LAIRD DR ,Blah,Hello
955 LAKE SHORE BLVD W,Blah,Hello
2150 LAKE SHORE BLVD W,Blah,Hello
2491 LAKE SHORE BLVD W,Blah,Hello
153 LAKE SHORE DR ,Blah,Hello
28 LANGLEY AVE ,Blah,Hello
17 LASCELLES BLVD,Blah,Hello
23 LASCELLES BLVD,Blah,Hello
25 LASCELLES BLVD,Blah,Hello
91 LAURENTIDE DR,Blah,Hello
901 LAWRENCE AVE W,Blah,Hello
901 LAWRENCE AVE W,Blah,Hello
1123 LESLIE ST,Blah,Hello
1135 LESLIE ST,Blah,Hello
218 Lippincott,Blah,Hello
181 LOGAN AVE ,Blah,Hello
245 LOGAN AVE ,Blah,Hello
401 LOGAN AVE ,Blah,Hello
290-316 LOGAN AVE ,Blah,Hello
195 Lytton blvd,Blah,Hello
33 MACKENZIE CRES,Blah,Hello
292 MAIN ST,Blah,Hello
373 MANNING AVE ,Blah,Hello
375 MANNING AVE ,Blah,Hello
377 MANNING AVE ,Blah,Hello
2 MATILDA ST ,Blah,Hello
10 MAYNARD AVE ,Blah,Hello
12 MAYNARD AVE ,Blah,Hello
35 MC CAUL ST ,Blah,Hello
160 MEMORIAL PARK AVE ,Blah,Hello
170 MEMORIAL PARK AVE ,Blah,Hello
18 MITCHELL AVE,Blah,Hello
22 MITCHELL AVE,Blah,Hello
40 MITCHELL AVE,Blah,Hello
44 MITCHELL AVE,Blah,Hello
71 MITCHELL AVE,Blah,Hello
75 MITCHELL AVE,Blah,Hello
111 MOATFIELD DR ,Blah,Hello
405 MOUNT PLEASANT RD ,Blah,Hello
61 NIAGARA ST ,Blah,Hello
63 NIAGARA ST ,Blah,Hello
65 NIAGARA ST ,Blah,Hello
67 NIAGARA ST ,Blah,Hello
69 NIAGARA ST ,Blah,Hello
29 ORIOLE GDNS ,Blah,Hello
91 OXFORD ST ,Blah,Hello
"9, 11, 11.5,15 PALMERSTON AVE",Blah,Hello
309 PALMERSTON BLVD ,Blah,Hello
311 PALMERSTON BLVD ,Blah,Hello
19 PARKCREST DR,Blah,Hello
68 PARKHURST BLVD ,Blah,Hello
28 PLAYTER CRES ,Blah,Hello
19 PLYMBRIDGE CRES,Blah,Hello
84 PORTAGE AVE ,Blah,Hello
1 POTE AVE,Blah,Hello
37 PRESLEY AVE,Blah,Hello
821 PROGRESS AVE,Blah,Hello
466 QUEBEC AVE,Blah,Hello
550 QUEEN ST E,Blah,Hello
600 QUEEN ST E,Blah,Hello
639 QUEEN ST E,Blah,Hello
641 QUEEN ST E,Blah,Hello
643 QUEEN ST E,Blah,Hello
651 QUEEN ST E,Blah,Hello
653 QUEEN ST E,Blah,Hello
655 QUEEN ST E,Blah,Hello
685 QUEEN ST E,Blah,Hello
709 QUEEN ST E,Blah,Hello
711 QUEEN ST E,Blah,Hello
714 QUEEN ST E,Blah,Hello
715 QUEEN ST E,Blah,Hello
718 QUEEN ST E,Blah,Hello
719 QUEEN ST E,Blah,Hello
722 QUEEN ST E,Blah,Hello
725 QUEEN ST E,Blah,Hello
727 QUEEN ST E,Blah,Hello
729 QUEEN ST E,Blah,Hello
730 QUEEN ST E,Blah,Hello
731 QUEEN ST E,Blah,Hello
732 QUEEN ST E,Blah,Hello
734 QUEEN ST E,Blah,Hello
736 QUEEN ST E,Blah,Hello
736 QUEEN ST E,Blah,Hello
738 QUEEN ST E,Blah,Hello
739 QUEEN ST E,Blah,Hello
740 QUEEN ST E,Blah,Hello
741 QUEEN ST E,Blah,Hello
742 QUEEN ST E,Blah,Hello
743 QUEEN ST E,Blah,Hello
745 QUEEN ST E,Blah,Hello
747 QUEEN ST E,Blah,Hello
750 QUEEN ST E,Blah,Hello
751 QUEEN ST E,Blah,Hello
754 QUEEN ST E,Blah,Hello
755 QUEEN ST E,Blah,Hello
756 QUEEN ST E,Blah,Hello
759 QUEEN ST E,Blah,Hello
761 QUEEN ST E,Blah,Hello
763 QUEEN ST E,Blah,Hello
768 QUEEN ST E,Blah,Hello
770 QUEEN ST E,Blah,Hello
772 QUEEN ST E,Blah,Hello
777 QUEEN ST E,Blah,Hello
780 QUEEN ST E,Blah,Hello
781 QUEEN ST E,Blah,Hello
782 QUEEN ST E,Blah,Hello
783 QUEEN ST E,Blah,Hello
784 QUEEN ST E,Blah,Hello
785 QUEEN ST E,Blah,Hello
786 QUEEN ST E,Blah,Hello
790 QUEEN ST E,Blah,Hello
791 QUEEN ST E,Blah,Hello
800 QUEEN ST E,Blah,Hello
804 QUEEN ST E,Blah,Hello
804 QUEEN ST E,Blah,Hello
806 QUEEN ST E,Blah,Hello
808 QUEEN ST E,Blah,Hello
810 QUEEN ST E,Blah,Hello
993 QUEEN ST E,Blah,Hello
1897 QUEEN ST E,Blah,Hello
2160 QUEEN ST E,Blah,Hello
1907 QUEEN ST E  ,Blah,Hello
1910 QUEEN ST E  ,Blah,Hello
1914 QUEEN ST E  ,Blah,Hello
1926 QUEEN ST E  ,Blah,Hello
2198 QUEEN ST E  ,Blah,Hello
2226 QUEEN ST E  ,Blah,Hello
2234 QUEEN ST E  ,Blah,Hello
2379 QUEEN ST E  ,Blah,Hello
1854-1862 QUEEN ST E  ,Blah,Hello
1040 QUEEN ST W,Blah,Hello
1042 QUEEN ST W,Blah,Hello
100 QUEEN'S PARK  ,Blah,Hello
735 RICHMOND ST W,Blah,Hello
737 RICHMOND ST W,Blah,Hello
755 RICHMOND ST W,Blah,Hello
40 RIVER ST,Blah,Hello
43 ROCHESTER AVE ,Blah,Hello
45 SAULTER ST ,Blah,Hello
47 SAULTER ST ,Blah,Hello
49 SAULTER ST ,Blah,Hello
51 SAULTER ST ,Blah,Hello
45 SHARRON DR,Blah,Hello
86 SILVER BIRCH AVE ,Blah,Hello
462 SPADINA AVE ,Blah,Hello
700 SPADINA AVE ,Blah,Hello
704 SPADINA AVE ,Blah,Hello
464 SPADINA RD ,Blah,Hello
1 ST EDMUND'S DR ,Blah,Hello
35 ST EDMUND'S DR ,Blah,Hello
19 ST LEONARDS AVE ,Blah,Hello
2992 ST. CLAIR AVE E,Blah,Hello
95 ST. JOSEPH ST,Blah,Hello
23 SUPERIOR AVE,Blah,Hello
29 SUSSEX AVE ,Blah,Hello
54 SUSSEX AVE ,Blah,Hello
75 THERMOS RD,Blah,Hello
440 UNWIN AVE,Blah,Hello
440 UNWIN AVE,Blah,Hello
501 VESTA DR,Blah,Hello
108 VINE AVE,Blah,Hello
74 WALKER AVE,Blah,Hello
367 WALMER RD,Blah,Hello
200 WANLESS AVE,Blah,Hello
2 WARRENDALE CT ,Blah,Hello
1 WEATHERELL ST,Blah,Hello
153 WESTON RD,Blah,Hello
2375 WESTON RD,Blah,Hello
2400 WESTON RD,Blah,Hello
181 WESTVIEW BLVD ,Blah,Hello
67 WOODLAWN AVE W,Blah,Hello
39 WYNFORD DR ,Blah,Hello
90 WYNFORD DR ,Blah,Hello
100 WYNFORD DR ,Blah,Hello
423 YONGE ST ,Blah,Hello
1140 YONGE ST ,Blah,Hello
1909 YONGE ST ,Blah,Hello
